round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
30,0.019542468711733818,0.1069335862994194,50.45420837402344,0.008514974266290665,0.07453756779432297,33.267372131347656,10,0.2,30,12
30,0.017545217648148537,0.1027023196220398,50.76049041748047,0.00859133806079626,0.07546200603246689,33.50339126586914,10,0.2,30,24
30,0.016840294003486633,0.10077860951423645,48.264869689941406,0.009471975266933441,0.08327372372150421,39.474246978759766,10,0.2,30,48
30,0.022956494241952896,0.11253797262907028,56.45101547241211,0.011259484104812145,0.09360296279191971,46.63137435913086,10,0.4,30,12
30,0.02386333793401718,0.12027048319578171,58.07746887207031,0.011294575408101082,0.08740708231925964,40.218536376953125,10,0.4,30,24
30,0.02037239633500576,0.1117524728178978,57.60953140258789,0.012989167124032974,0.08757723122835159,33.52355194091797,10,0.4,30,48
30,0.01844318024814129,0.10612630844116211,54.277339935302734,0.009212645702064037,0.08058314770460129,40.050621032714844,20,0.2,30,12
30,0.0179297998547554,0.10263479501008987,52.02416229248047,0.011508063413202763,0.08735525608062744,37.231353759765625,20,0.2,30,24
30,0.0161235723644495,0.0977940484881401,45.65632629394531,0.009943529032170773,0.08351302891969681,37.5845832824707,20,0.2,30,48
30,0.021175913512706757,0.11544809490442276,57.61726379394531,0.012844845652580261,0.09700696915388107,46.55378723144531,20,0.4,30,12
30,0.02275076135993004,0.11497229337692261,56.51009750366211,0.01108440663665533,0.09119436144828796,46.221004486083984,20,0.4,30,24
30,0.02162826806306839,0.11444244533777237,57.1850471496582,0.011869307607412338,0.08277995139360428,32.131591796875,20,0.4,30,48
30,0.02474452368915081,0.12295497208833694,63.29951858520508,0.014991355128586292,0.10794935375452042,57.289005279541016,30,0.2,30,12
30,0.018973149359226227,0.10353537648916245,51.604087829589844,0.011417434550821781,0.09210042655467987,43.973819732666016,30,0.2,30,24
30,0.015644202008843422,0.09305060654878616,45.84952926635742,0.010759377852082253,0.08960139751434326,43.159976959228516,30,0.2,30,48
30,0.022752443328499794,0.11705910414457321,58.17951583862305,0.01477045938372612,0.1080770492553711,55.11100769042969,30,0.4,30,12
30,0.02452693320810795,0.11910688877105713,58.400020599365234,0.011244827881455421,0.08940304070711136,41.67231369018555,30,0.4,30,24
30,0.020530004054307938,0.10992096364498138,56.782867431640625,0.01259368285536766,0.08942339569330215,37.23753356933594,30,0.4,30,48
