round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
40,0.004447725135833025,0.046166133135557175,64037.47265625,0.005249431356787682,0.04705869033932686,25.320119857788086,8,0.1,40,12
40,0.00449800631031394,0.04615131393074989,40535.8046875,0.004588976502418518,0.044861894100904465,25.955692291259766,8,0.1,40,24
40,0.00420405576005578,0.04421447217464447,36396.515625,0.005326592363417149,0.047105275094509125,24.15403938293457,8,0.1,40,48
50,0.004439365118741989,0.046219225972890854,50838.84765625,0.005057979375123978,0.04492213577032089,23.286758422851562,8,0.1,50,12
50,0.004323960281908512,0.04573593661189079,64487.06640625,0.005079236347228289,0.04511309042572975,24.18824577331543,8,0.1,50,24
50,0.003942387644201517,0.04344629496335983,39283.89453125,0.005527684465050697,0.04714609682559967,24.41836929321289,8,0.1,50,48
40,0.0048975334502756596,0.0482892245054245,59377.9375,0.006014781538397074,0.04765678942203522,24.187435150146484,8,0.2,40,12
40,0.005086174234747887,0.050027359277009964,39668.15234375,0.0054547046311199665,0.04654054716229439,25.155956268310547,8,0.2,40,24
40,0.00443571200594306,0.04696326702833176,14447.1533203125,0.006415553390979767,0.04995141923427582,25.044906616210938,8,0.2,40,48
50,0.005061677657067776,0.0485215000808239,36958.69921875,0.005397508852183819,0.04524577036499977,24.147655487060547,8,0.2,50,12
50,0.00443293247371912,0.04656415060162544,39575.94921875,0.00636993208900094,0.0507839135825634,25.258333206176758,8,0.2,50,24
50,0.005178807303309441,0.048882972449064255,69482.6171875,0.007905354723334312,0.05782643333077431,29.38274574279785,8,0.2,50,48
40,0.0067002917639911175,0.05683807656168938,44721.640625,0.006377287674695253,0.047759249806404114,25.47906494140625,8,0.4,40,12
40,0.006166292354464531,0.0543770007789135,13246.421875,0.007731613237410784,0.05322390794754028,25.720497131347656,8,0.4,40,24
40,0.005519729573279619,0.05183596909046173,55994.15625,0.012678657658398151,0.07417484372854233,32.40013885498047,8,0.4,40,48
50,0.006088653579354286,0.05452711507678032,84581.046875,0.006606491282582283,0.05083209276199341,25.890357971191406,8,0.4,50,12
50,0.0052390145137906075,0.05010244995355606,81045.6015625,0.01025864016264677,0.06252355128526688,28.007251739501953,8,0.4,50,24
50,0.005558049771934748,0.05087365582585335,14907.1826171875,0.01009807176887989,0.06419029831886292,28.428462982177734,8,0.4,50,48
40,0.004665757063776255,0.046915728598833084,45734.796875,0.005137434229254723,0.04593615233898163,24.818742752075195,16,0.1,40,12
40,0.004533551167696714,0.04686325043439865,45672.3671875,0.005936845671385527,0.049858756363391876,25.703786849975586,16,0.1,40,24
40,0.0044283317402005196,0.04705614224076271,48884.08203125,0.005809786729514599,0.05007203668355942,26.577455520629883,16,0.1,40,48
50,0.0047661662101745605,0.047776367515325546,36967.23046875,0.005405656062066555,0.046736374497413635,24.51686668395996,16,0.1,50,12
50,0.004513447172939777,0.04706340655684471,43316.52734375,0.005472158547490835,0.048680901527404785,25.54458999633789,16,0.1,50,24
50,0.004328983835875988,0.044761449098587036,46739.6484375,0.005178337451070547,0.045509856194257736,23.894939422607422,16,0.1,50,48
40,0.005472251679748297,0.051805369555950165,51890.18359375,0.005545693449676037,0.045412588864564896,24.381221771240234,16,0.2,40,12
40,0.0047820438630878925,0.04892592877149582,35612.1953125,0.005374483298510313,0.046986259520053864,24.90550422668457,16,0.2,40,24
40,0.005114373285323381,0.04992349073290825,54898.0234375,0.00640891445800662,0.051409970968961716,26.164104461669922,16,0.2,40,48
