round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
30,0.0049173287115991116,0.04878353700041771,36558.78515625,0.004550364799797535,0.046213213354349136,58.002986907958984,8,0.1,30,6
30,0.004268587101250887,0.04576224088668823,17046.59765625,0.004562238696962595,0.04143030196428299,47.755271911621094,8,0.1,30,12
30,0.0037905771750956774,0.04514235258102417,2217.125244140625,0.00403327913954854,0.040174636989831924,46.917327880859375,8,0.1,30,18
30,0.004284344147890806,0.0457734614610672,35108.296875,0.004197732079774141,0.042264681309461594,50.31637191772461,8,0.1,30,24
30,0.00433819554746151,0.046751879155635834,37922.71484375,0.004220482427626848,0.03948892652988434,42.228546142578125,8,0.1,30,48
40,0.0046544913202524185,0.04762985184788704,44771.78125,0.004541101865470409,0.04233134165406227,52.48656463623047,8,0.1,40,6
40,0.004314762074500322,0.045950327068567276,55586.8359375,0.004274788312613964,0.043223023414611816,55.83759307861328,8,0.1,40,12
40,0.004101620987057686,0.044891029596328735,78680.3828125,0.00407062703743577,0.03878317400813103,44.97807693481445,8,0.1,40,18
40,0.0043358649127185345,0.04675910994410515,51914.41796875,0.003912364132702351,0.04206337034702301,52.27729034423828,8,0.1,40,24
40,0.004611567594110966,0.04573264345526695,54170.39453125,0.004119171295315027,0.04229041561484337,51.560508728027344,8,0.1,40,48
50,0.0040677450597286224,0.044441286474466324,53988.609375,0.004211958963423967,0.04148252308368683,53.229427337646484,8,0.1,50,6
50,0.00415542908012867,0.04507359862327576,51340.140625,0.004208143800497055,0.04249946400523186,52.471527099609375,8,0.1,50,12
50,0.004326160065829754,0.045335590839385986,83296.6015625,0.004040698520839214,0.04197755828499794,51.38068771362305,8,0.1,50,18
50,0.004041974898427725,0.04493853449821472,62300.609375,0.004182989709079266,0.040879279375076294,50.10789108276367,8,0.1,50,24
50,0.004196282010525465,0.045025017112493515,89354.8125,0.004414293449372053,0.04359743371605873,58.66617965698242,8,0.1,50,48
60,0.00417850399389863,0.04472668841481209,58938.19140625,0.004416520241647959,0.042563196271657944,50.49346923828125,8,0.1,60,6
60,0.004067685920745134,0.04584537073969841,46527.4453125,0.004127405118197203,0.042782485485076904,48.03392791748047,8,0.1,60,12
60,0.004242028575390577,0.04553672671318054,55187.06640625,0.003907355945557356,0.040641698986291885,48.75225067138672,8,0.1,60,18
60,0.004074957221746445,0.04416825249791145,70905.453125,0.004101644270122051,0.039433322846889496,48.34874725341797,8,0.1,60,24
60,0.003893152577802539,0.04373648017644882,62293.48828125,0.004756096284836531,0.04121050611138344,43.491336822509766,8,0.1,60,48
30,0.005378399044275284,0.05190068110823631,47418.8046875,0.005187278613448143,0.04533497616648674,50.07844924926758,8,0.2,30,6
30,0.005196195561438799,0.05010434612631798,37162.28515625,0.005161983892321587,0.044269148260354996,48.90354919433594,8,0.2,30,12
30,0.005032536573708057,0.049278147518634796,30893.125,0.004761375952512026,0.04211468994617462,41.30221939086914,8,0.2,30,18
30,0.005016991402953863,0.050227582454681396,55859.81640625,0.004603350535035133,0.04370776191353798,49.497314453125,8,0.2,30,24
30,0.004948233719915152,0.048201821744441986,18812.552734375,0.005893520545214415,0.0467163510620594,41.07211685180664,8,0.2,30,48
40,0.005202320870012045,0.051544345915317535,103158.015625,0.004787317011505365,0.04562569409608841,53.381378173828125,8,0.2,40,6
40,0.005328817758709192,0.051671821624040604,61279.640625,0.004465019796043634,0.04393785819411278,52.19902420043945,8,0.2,40,12
40,0.004992259666323662,0.04917701333761215,44120.21484375,0.0050606438890099525,0.04441091790795326,43.731834411621094,8,0.2,40,18
40,0.005002270452678204,0.05025520175695419,43257.421875,0.004411861300468445,0.04214230552315712,48.033973693847656,8,0.2,40,24
