round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
40,0.015429277904331684,0.09761715680360794,965555.875,0.013585526496171951,0.08737730979919434,49.379695892333984,8,0.1,40,12
40,0.014097570441663265,0.0922132134437561,1000127.25,0.013690692372620106,0.08895296603441238,50.593936920166016,8,0.1,40,24
40,0.012940926477313042,0.08569135516881943,818987.8125,0.014400487765669823,0.09338288754224777,55.6486930847168,8,0.1,40,48
50,0.015522195026278496,0.09290927648544312,829214.4375,0.01803080551326275,0.09527316689491272,57.099300384521484,8,0.1,50,12
50,0.014750485308468342,0.09328038990497589,734368.6875,0.014003756456077099,0.08237329125404358,46.83195877075195,8,0.1,50,24
50,0.015314782038331032,0.08920344710350037,984436.125,0.013199091888964176,0.08466193825006485,48.525577545166016,8,0.1,50,48
40,0.016643473878502846,0.10031677782535553,985007.9375,0.018212521448731422,0.09935366362333298,63.31039047241211,8,0.2,40,12
40,0.01892901584506035,0.10580985993146896,868814.6875,0.013579905033111572,0.08531271666288376,52.439022064208984,8,0.2,40,24
40,0.016078203916549683,0.09671321511268616,610155.375,0.015410748310387135,0.08921383321285248,53.008705139160156,8,0.2,40,48
50,0.01683691516518593,0.10133811086416245,633520.5625,0.016005143523216248,0.09313921630382538,63.51919937133789,8,0.2,50,12
50,0.016837801784276962,0.09935291856527328,1047157.6875,0.013978466391563416,0.08506491780281067,51.28898620605469,8,0.2,50,24
50,0.016251105815172195,0.09889516234397888,750460.8125,0.01611756719648838,0.08792510628700256,49.4535026550293,8,0.2,50,48
40,0.02225148305296898,0.10882568359375,877641.875,0.01717156358063221,0.08667144179344177,51.39265060424805,8,0.4,40,12
