round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,first_neuron
30,0.01846224255859852,0.0051282052882015705,0.024468140676617622,0.0,10,0.2,12
30,0.015361073426902294,0.0051282052882015705,0.023365670815110207,0.0,10,0.2,24
30,0.01598580926656723,0.0051282052882015705,0.02151661366224289,0.0,10,0.2,48
30,0.017742207273840904,0.0051282052882015705,0.02179756574332714,0.0,10,0.4,12
30,0.01992752216756344,0.0051282052882015705,0.022149013355374336,0.0,10,0.4,24
30,0.01763264834880829,0.0051282052882015705,0.020345967262983322,0.0,10,0.4,48
30,0.01620703935623169,0.0051282052882015705,0.023369472473859787,0.0,20,0.2,12
30,0.015164024196565151,0.0051282052882015705,0.02842399664223194,0.0,20,0.2,24
30,0.0159279927611351,0.0051282052882015705,0.02813720889389515,0.0,20,0.2,48
30,0.021264396607875824,0.0051282052882015705,0.016198070719838142,0.0,20,0.4,12
30,0.01645640842616558,0.0051282052882015705,0.022335942834615707,0.0,20,0.4,24
30,0.014216282404959202,0.0051282052882015705,0.02306959591805935,0.0,20,0.4,48
30,0.018767574802041054,0.0051282052882015705,0.025568263605237007,0.0,30,0.2,12
30,0.016264429315924644,0.0051282052882015705,0.02348383516073227,0.0,30,0.2,24
30,0.016768092289566994,0.0051282052882015705,0.023396294564008713,0.0,30,0.2,48
30,0.02313714474439621,0.0051282052882015705,0.019828608259558678,0.0,30,0.4,12
30,0.02308685891330242,0.0051282052882015705,0.023524217307567596,0.0,30,0.4,24
30,0.018252110108733177,0.0051282052882015705,0.02434859238564968,0.0,30,0.4,48
