round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,first_neuron
30,0.024418417364358902,0.0,0.0140909468755126,0.0,10,0.2,12
30,0.024364683777093887,0.0,0.015425893478095531,0.0,10,0.2,24
30,0.02292993664741516,0.0,0.013902813196182251,0.0,10,0.2,48
30,0.022352853789925575,0.0,0.015757426619529724,0.0,10,0.4,12
30,0.024258103221654892,0.0,0.014788592234253883,0.0,10,0.4,24
30,0.024504326283931732,0.0,0.015573954209685326,0.0,10,0.4,48
30,0.022526085376739502,0.0,0.016501791775226593,0.0,20,0.2,12
30,0.02422562800347805,0.0,0.01481722667813301,0.0,20,0.2,24
30,0.02448558807373047,0.0,0.016044095158576965,0.0,20,0.2,48
30,0.027856623753905296,0.0,0.017954131588339806,0.0,20,0.4,12
30,0.025440732017159462,0.0,0.014416969381272793,0.0,20,0.4,24
30,0.024908877909183502,0.0,0.015495985746383667,0.0,20,0.4,48
30,0.026138905435800552,0.0,0.015279189683496952,0.0,30,0.2,12
30,0.02712239883840084,0.0,0.013553052209317684,0.0,30,0.2,24
30,0.023478861898183823,0.0,0.015321720391511917,0.0,30,0.2,48
30,0.02696404606103897,0.0,0.018962712958455086,0.0,30,0.4,12
30,0.024366235360503197,0.0,0.015912340953946114,0.0,30,0.4,24
30,0.02419579029083252,0.0,0.01614706963300705,0.0,30,0.4,48
