round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
30,0.01824483461678028,0.10336551815271378,54.68587112426758,0.014813771471381187,0.10123636573553085,92.88861846923828,16,0.1,30,6
30,0.01787034049630165,0.10482455790042877,58.34156799316406,0.0149194011464715,0.10241284966468811,104.04999542236328,16,0.1,30,12
30,0.014264225028455257,0.09333231300115585,50.78764343261719,0.010009602643549442,0.08226526528596878,73.37074279785156,16,0.1,30,18
30,0.014707362279295921,0.09330885112285614,48.91743850708008,0.009125283919274807,0.07954910397529602,80.66744995117188,16,0.1,30,24
30,0.012776565738022327,0.08819654583930969,47.993167877197266,0.008850925602018833,0.07937692850828171,89.20960998535156,16,0.1,30,48
40,0.01550876535475254,0.09788059443235397,52.941566467285156,0.011979413218796253,0.0907030776143074,91.37211608886719,16,0.1,40,6
40,0.013937922194600105,0.09395068883895874,46.35234832763672,0.009310579858720303,0.08156145364046097,90.4609146118164,16,0.1,40,12
40,0.014166668988764286,0.09301166236400604,49.256439208984375,0.009058878757059574,0.07721152901649475,84.6682357788086,16,0.1,40,18
40,0.014194207265973091,0.0901365652680397,47.870662689208984,0.008579754270613194,0.07890966534614563,83.67069244384766,16,0.1,40,24
40,0.012272411957383156,0.08600937575101852,42.9694709777832,0.006796754896640778,0.06430310755968094,77.75584411621094,16,0.1,40,48
50,0.014869596809148788,0.09644909203052521,47.71832275390625,0.008268012665212154,0.079257532954216,87.68849182128906,16,0.1,50,6
50,0.015356801450252533,0.09377583861351013,49.02389907836914,0.009884193539619446,0.07985356450080872,74.14757537841797,16,0.1,50,12
50,0.013750536367297173,0.08974219858646393,48.66252136230469,0.009099476970732212,0.07921024411916733,84.91742706298828,16,0.1,50,18
50,0.013489309698343277,0.08860834687948227,45.2420654296875,0.007993635721504688,0.07340416312217712,88.9772720336914,16,0.1,50,24
50,0.01320189330726862,0.08976627886295319,43.971282958984375,0.008459427393972874,0.0787959173321724,91.64440155029297,16,0.1,50,48
60,0.014076029881834984,0.09375228732824326,48.66300582885742,0.009768486954271793,0.0844608023762703,81.71430969238281,16,0.1,60,6
60,0.012190766632556915,0.0876542404294014,45.17658233642578,0.008672801777720451,0.07621338218450546,79.43258666992188,16,0.1,60,12
60,0.013762682676315308,0.08881449699401855,44.744667053222656,0.009042532183229923,0.07537510991096497,63.846961975097656,16,0.1,60,18
60,0.012926410883665085,0.08641115576028824,47.17806625366211,0.008073298260569572,0.07380212098360062,84.86248779296875,16,0.1,60,24
60,0.011116841807961464,0.08064347505569458,38.92643356323242,0.007097388617694378,0.06940393149852753,84.06975555419922,16,0.1,60,48
30,0.017917450517416,0.1063653901219368,59.58570861816406,0.012112137861549854,0.08923263847827911,82.95694732666016,16,0.2,30,6
30,0.018344951793551445,0.10319215804338455,55.33232116699219,0.010755919851362705,0.08981912583112717,86.33436584472656,16,0.2,30,12
30,0.01629015803337097,0.09722372144460678,50.57308578491211,0.011010527610778809,0.08811680972576141,93.37755584716797,16,0.2,30,18
30,0.01592637225985527,0.09863440692424774,49.17195129394531,0.008913789875805378,0.08098499476909637,71.57910919189453,16,0.2,30,24
30,0.013734210282564163,0.09086506813764572,47.29556655883789,0.009363653138279915,0.08106375485658646,83.77233123779297,16,0.2,30,48
40,0.01818849891424179,0.10826804488897324,58.961036682128906,0.012687575072050095,0.09531218558549881,86.41796875,16,0.2,40,6
40,0.017631549388170242,0.10306911915540695,51.547607421875,0.011318535543978214,0.0908723771572113,95.0414047241211,16,0.2,40,12
40,0.01767233945429325,0.10301956534385681,58.011817932128906,0.012354222126305103,0.09495259076356888,87.6480484008789,16,0.2,40,18
40,0.01649411767721176,0.09754954278469086,50.68119430541992,0.010482069104909897,0.0872889831662178,83.44805145263672,16,0.2,40,24
40,0.015016195364296436,0.09561479091644287,52.4684944152832,0.00926105584949255,0.07873668521642685,82.08383178710938,16,0.2,40,48
50,0.01706518419086933,0.10177596658468246,57.09608459472656,0.012676423415541649,0.09964513778686523,94.68876647949219,16,0.2,50,6
50,0.015137949958443642,0.09127476066350937,45.34044647216797,0.007710081525146961,0.07173419743776321,71.73151397705078,16,0.2,50,12
50,0.017031151801347733,0.10312709212303162,54.99215316772461,0.01018413994461298,0.08575348556041718,82.68257141113281,16,0.2,50,18
50,0.01659557968378067,0.09993408620357513,48.74665069580078,0.008871256373822689,0.08204585313796997,88.0583724975586,16,0.2,50,24
50,0.014635828323662281,0.0938122496008873,49.163055419921875,0.008555003441870213,0.07791715115308762,84.01306915283203,16,0.2,50,48
60,0.019149774685502052,0.10606930404901505,54.38644790649414,0.009568532928824425,0.08639460057020187,84.0558090209961,16,0.2,60,6
60,0.016230490058660507,0.1015242263674736,53.26716232299805,0.010687175206840038,0.08813676238059998,88.31905364990234,16,0.2,60,12
60,0.015557128004729748,0.09451267868280411,48.38681411743164,0.008183739148080349,0.07478918880224228,83.49957275390625,16,0.2,60,18
60,0.014642903581261635,0.09201977401971817,49.70565414428711,0.00897268857806921,0.07877068966627121,75.95254516601562,16,0.2,60,24
60,0.014607387594878674,0.09331005811691284,46.243289947509766,0.007751051802188158,0.06934469938278198,69.0610122680664,16,0.2,60,48
30,0.02345467545092106,0.11840806901454926,62.977840423583984,0.013684744015336037,0.09660926461219788,76.05097961425781,16,0.4,30,6
30,0.020605875179171562,0.11099182814359665,54.04417419433594,0.013657588511705399,0.10037989914417267,89.14347076416016,16,0.4,30,12
30,0.022137608379125595,0.11693461239337921,58.419010162353516,0.013278805650770664,0.09464762359857559,75.99462127685547,16,0.4,30,18
30,0.019976817071437836,0.11252985894680023,57.75968933105469,0.013837739825248718,0.09345518797636032,74.25126647949219,16,0.4,30,24
30,0.019680775701999664,0.11117085069417953,55.46080780029297,0.015757866203784943,0.09728530049324036,65.80113983154297,16,0.4,30,48
40,0.025131087750196457,0.12256123125553131,62.3922119140625,0.017352139577269554,0.11414473503828049,101.26693725585938,16,0.4,40,6
40,0.024490520358085632,0.12102098762989044,62.8201904296875,0.019262682646512985,0.1258038431406021,138.6056671142578,16,0.4,40,12
40,0.0202651210129261,0.10955475270748138,60.172630310058594,0.01217365637421608,0.0956345871090889,89.72064971923828,16,0.4,40,18
40,0.018544180318713188,0.103978730738163,55.191307067871094,0.014477953314781189,0.10371425002813339,103.60610961914062,16,0.4,40,24
40,0.018081936985254288,0.10184210538864136,51.23558807373047,0.012924143113195896,0.09208448231220245,72.84837341308594,16,0.4,40,48
50,0.02155078761279583,0.11460325121879578,64.8263931274414,0.014422756619751453,0.10974185913801193,104.3556900024414,16,0.4,50,6
50,0.017735013738274574,0.10291509330272675,54.833534240722656,0.012151161208748817,0.09506485611200333,87.08837127685547,16,0.4,50,12
50,0.017938094213604927,0.10347181558609009,55.23915100097656,0.014187555760145187,0.09910573810338974,85.34123992919922,16,0.4,50,18
50,0.017475144937634468,0.1007605791091919,56.56049346923828,0.01451062597334385,0.09807077050209045,85.55323028564453,16,0.4,50,24
50,0.015326914377510548,0.09522225707769394,54.10657501220703,0.012734990566968918,0.08927825093269348,68.37505340576172,16,0.4,50,48
60,0.018858183175325394,0.1062578335404396,58.18351364135742,0.012829896993935108,0.10075389593839645,91.92884826660156,16,0.4,60,6
60,0.01760907843708992,0.105451799929142,55.566246032714844,0.013641241006553173,0.0967366173863411,81.98485565185547,16,0.4,60,12
60,0.01705893874168396,0.10196410119533539,53.17746353149414,0.011535311117768288,0.09138601273298264,83.76264190673828,16,0.4,60,18
60,0.018269328400492668,0.10184183716773987,52.814048767089844,0.01086615864187479,0.08738797158002853,80.11870574951172,16,0.4,60,24
60,0.017437605187296867,0.10051058232784271,51.95278549194336,0.01564348116517067,0.09909719973802567,66.22222137451172,16,0.4,60,48
30,0.0241252388805151,0.11877744644880295,64.96713256835938,0.020648224279284477,0.12428435683250427,127.41278839111328,32,0.1,30,6
30,0.0209136251360178,0.11386417597532272,61.52830123901367,0.01951274462044239,0.11833572387695312,110.4340591430664,32,0.1,30,12
30,0.016227027401328087,0.09791252762079239,51.624637603759766,0.01270621083676815,0.09563052654266357,92.21029663085938,32,0.1,30,18
30,0.01853410340845585,0.10534577071666718,56.848270416259766,0.011158466339111328,0.08927948772907257,84.75897979736328,32,0.1,30,24
30,0.014596994034945965,0.09260856360197067,46.1650505065918,0.008815919980406761,0.07595590502023697,75.5669937133789,32,0.1,30,48
40,0.02144641801714897,0.11222885549068451,60.47047424316406,0.019951464608311653,0.12046456336975098,117.58965301513672,32,0.1,40,6
40,0.018683739006519318,0.10421377420425415,54.40468215942383,0.010498073883354664,0.08320364356040955,74.04891967773438,32,0.1,40,12
40,0.016367441043257713,0.10004568099975586,52.8183708190918,0.010243385098874569,0.08068914711475372,79.65740966796875,32,0.1,40,18
40,0.014434021897614002,0.09489718079566956,49.01298141479492,0.009617564268410206,0.07851625233888626,75.76470184326172,32,0.1,40,24
40,0.014463537372648716,0.0939183458685875,53.128028869628906,0.009865225292742252,0.08193220943212509,67.23058319091797,32,0.1,40,48
50,0.016169093549251556,0.09813327342271805,50.00867462158203,0.01140397135168314,0.08517535030841827,80.97298431396484,32,0.1,50,6
50,0.015613607130944729,0.09460606426000595,51.64491271972656,0.011648375540971756,0.08946183323860168,84.9974136352539,32,0.1,50,12
50,0.015268489718437195,0.09518536180257797,50.05080795288086,0.008005675859749317,0.07511819899082184,79.64643096923828,32,0.1,50,18
50,0.013770092278718948,0.08929017931222916,46.38644790649414,0.008298351429402828,0.07566747069358826,72.82122039794922,32,0.1,50,24
50,0.013202428817749023,0.09144876152276993,45.21841812133789,0.0080260606482625,0.07450675219297409,73.64285278320312,32,0.1,50,48
60,0.016957765445113182,0.10060498118400574,54.62425994873047,0.011980154551565647,0.09482922405004501,86.7510757446289,32,0.1,60,6
60,0.013482172042131424,0.09039419889450073,48.305789947509766,0.010639212094247341,0.08347384631633759,79.40901184082031,32,0.1,60,12
60,0.013834895566105843,0.09266684204339981,49.95623016357422,0.008180675096809864,0.07416003197431564,84.79975891113281,32,0.1,60,18
60,0.015086415223777294,0.09636363387107849,54.251365661621094,0.010127443820238113,0.08206930011510849,69.6409683227539,32,0.1,60,24
60,0.012378597632050514,0.08772686868906021,46.17399978637695,0.007991785183548927,0.07294541597366333,75.05187225341797,32,0.1,60,48
30,0.02343745343387127,0.11693874001502991,64.07266235351562,0.016834909096360207,0.11041155457496643,109.20728302001953,32,0.2,30,6
