round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
40,0.004036370199173689,0.046131476759910583,34.837127685546875,0.003126546274870634,0.04040616378188133,32.730262756347656,8,0.1,40,12
40,0.0037820932921022177,0.04400291666388512,31.808107376098633,0.003505509812384844,0.043777767568826675,32.58380126953125,8,0.1,40,24
40,0.0035436786711215973,0.04299510270357132,33.38861846923828,0.002903946442529559,0.04040578752756119,35.44645309448242,8,0.1,40,48
40,0.004259329754859209,0.046943359076976776,35.98342514038086,0.0033282239455729723,0.04130532592535019,30.934484481811523,8,0.2,40,12
40,0.00435437960550189,0.04738210514187813,35.38540267944336,0.003686106763780117,0.044450368732213974,35.062110900878906,8,0.2,40,24
40,0.004325988702476025,0.0466499999165535,35.8460578918457,0.003803859231993556,0.044746801257133484,35.311439514160156,8,0.2,40,48
40,0.004151095636188984,0.0457678884267807,33.085594177246094,0.0030127449426800013,0.039913076907396317,34.056087493896484,16,0.1,40,12
40,0.003767500165849924,0.0445459708571434,34.78774642944336,0.0034769235644489527,0.04291366785764694,37.333106994628906,16,0.1,40,24
40,0.003978256601840258,0.04465891420841217,32.77154541015625,0.003245069645345211,0.041491683572530746,36.03889465332031,16,0.1,40,48
40,0.004141724668443203,0.04538186267018318,36.425838470458984,0.003322178963571787,0.043213944882154465,42.554439544677734,16,0.2,40,12
40,0.004480353090912104,0.04617058485746384,32.64809036254883,0.0030798930674791336,0.040904175490140915,35.55089569091797,16,0.2,40,24
40,0.00406821072101593,0.04647652432322502,33.20380401611328,0.003529841313138604,0.04369373247027397,38.083492279052734,16,0.2,40,48
