round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
60,0.013401729986071587,0.08829594403505325,773779.625,0.02091326005756855,0.12228483706712723,118.98094940185547,10,0.2,60,12
60,0.013154646381735802,0.08616870641708374,758554.6875,0.021942563354969025,0.12749691307544708,116.64232635498047,10,0.2,60,24
60,0.01402105763554573,0.08719660341739655,833044.25,0.020421983674168587,0.12308259308338165,105.36726379394531,10,0.2,60,48
60,0.015579547733068466,0.09824742376804352,1142053.25,0.023554228246212006,0.1344333440065384,129.72792053222656,10,0.4,60,12
60,0.016784723848104477,0.09736945480108261,681708.125,0.023642100393772125,0.13480503857135773,120.21381378173828,10,0.4,60,24
60,0.015401996672153473,0.09291540086269379,1115811.0,0.02133658342063427,0.1282111257314682,116.03813934326172,10,0.4,60,48
60,0.016745073720812798,0.09569250047206879,570571.625,0.026524990797042847,0.1391245573759079,126.14539337158203,20,0.2,60,12
60,0.013785753399133682,0.08698685467243195,797690.3125,0.01948685757815838,0.12140469998121262,113.89075469970703,20,0.2,60,24
60,0.012243058532476425,0.08482585847377777,774163.125,0.017112329602241516,0.11783736199140549,101.6749038696289,20,0.2,60,48
60,0.016605030745267868,0.0963953360915184,1055865.75,0.02490689791738987,0.13741697371006012,113.05211639404297,20,0.4,60,12
60,0.015713630244135857,0.09284692257642746,679540.875,0.024596072733402252,0.13742345571517944,135.10025024414062,20,0.4,60,24
60,0.01696096919476986,0.097822405397892,790482.9375,0.02261444553732872,0.12517192959785461,97.4455795288086,20,0.4,60,48
60,0.015575896017253399,0.09498024731874466,752730.0625,0.021189885213971138,0.12867046892642975,110.90753936767578,30,0.2,60,12
60,0.013415785506367683,0.08788874000310898,1020243.4375,0.016413604840636253,0.11699271202087402,101.2809066772461,30,0.2,60,24
60,0.012861990369856358,0.08515556901693344,1005467.625,0.020042121410369873,0.12472346425056458,116.45675659179688,30,0.2,60,48
60,0.018388573080301285,0.10314249992370605,649821.625,0.024934597313404083,0.1325063556432724,110.53305053710938,30,0.4,60,12
60,0.016457870602607727,0.0962461456656456,954023.9375,0.02168925665318966,0.12859641015529633,106.03980255126953,30,0.4,60,24
60,0.016506865620613098,0.0975337103009224,816000.1875,0.020348329097032547,0.12674051523208618,112.70649719238281,30,0.4,60,48
