round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
30,0.020905129611492157,0.11190743744373322,805705.125,0.01016640942543745,0.07375883311033249,33.98469924926758,10,0.2,30,12
30,0.017784276977181435,0.10412675142288208,830813.6875,0.014130955561995506,0.09174727648496628,32.25650405883789,10,0.2,30,24
30,0.017350252717733383,0.10351096093654633,733165.9375,0.014377995394170284,0.09180798381567001,31.872631072998047,10,0.2,30,48
30,0.022398028522729874,0.11765249818563461,327950.34375,0.013942757621407509,0.09046211838722229,31.321563720703125,10,0.4,30,12
30,0.02349861152470112,0.11783488094806671,1166425.125,0.012319953180849552,0.08710572123527527,38.37512969970703,10,0.4,30,24
30,0.02177913673222065,0.11771893501281738,622506.9375,0.014492345042526722,0.09431557357311249,35.251712799072266,10,0.4,30,48
30,0.022198760882019997,0.11889462918043137,963619.9375,0.01133272610604763,0.078203484416008,31.746381759643555,20,0.2,30,12
30,0.017734123393893242,0.10670267045497894,970995.625,0.010979259386658669,0.07407781481742859,27.509126663208008,20,0.2,30,24
30,0.01711437478661537,0.10259043425321579,753308.3125,0.012489041313529015,0.08039330691099167,29.646949768066406,20,0.2,30,48
30,0.028182724490761757,0.1297752857208252,1070462.875,0.011108270846307278,0.08439826220273972,37.410301208496094,20,0.4,30,12
30,0.020674416795372963,0.10998576879501343,1002331.1875,0.015171606093645096,0.10052991658449173,33.88983917236328,20,0.4,30,24
30,0.022381741553544998,0.11447987705469131,959297.625,0.009842012077569962,0.0735013484954834,30.04950523376465,20,0.4,30,48
30,0.023231444880366325,0.11710189282894135,598405.8125,0.011428246274590492,0.08312136679887772,36.86274719238281,30,0.2,30,12
30,0.017401928082108498,0.10390840470790863,811091.375,0.012418595142662525,0.08398272842168808,34.2084846496582,30,0.2,30,24
30,0.01659976691007614,0.10013213753700256,898972.9375,0.012469509616494179,0.08442390710115433,29.615455627441406,30,0.2,30,48
30,0.024441955611109734,0.12318167835474014,364890.0,0.013531040400266647,0.09308440238237381,33.62651443481445,30,0.4,30,12
30,0.02258128859102726,0.11991292238235474,908801.8125,0.01843339391052723,0.11704067885875702,42.64845657348633,30,0.4,30,24
30,0.019625937566161156,0.10643396526575089,518468.9375,0.016574334353208542,0.10434079170227051,34.33484649658203,30,0.4,30,48
