round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,first_neuron
30,0.025424901396036148,0.0051282052882015705,0.01566547527909279,0.0,10,0.2,12
30,0.025896085426211357,0.0051282052882015705,0.016339976340532303,0.0,10,0.2,24
30,0.027129558846354485,0.0051282052882015705,0.016709046438336372,0.0,10,0.2,48
30,0.026707597076892853,0.0051282052882015705,0.018230147659778595,0.0,10,0.4,12
30,0.029114458709955215,0.0051282052882015705,0.01745026372373104,0.0,10,0.4,24
30,0.027659058570861816,0.0051282052882015705,0.01816633716225624,0.0,10,0.4,48
30,0.026023272424936295,0.0051282052882015705,0.017356615513563156,0.0,20,0.2,12
30,0.0273512601852417,0.0051282052882015705,0.01634087972342968,0.0,20,0.2,24
30,0.024660658091306686,0.0051282052882015705,0.015861887484788895,0.0,20,0.2,48
30,0.026879820972681046,0.0051282052882015705,0.0177707951515913,0.0,20,0.4,12
30,0.02383614145219326,0.0051282052882015705,0.016838733106851578,0.0,20,0.4,24
30,0.027026979252696037,0.0051282052882015705,0.0186835378408432,0.0,20,0.4,48
30,0.02596394158899784,0.0051282052882015705,0.016365215182304382,0.0,30,0.2,12
30,0.025752123445272446,0.0051282052882015705,0.016674671322107315,0.0,30,0.2,24
30,0.02480916492640972,0.0051282052882015705,0.016219375655055046,0.0,30,0.2,48
30,0.02761678770184517,0.0051282052882015705,0.0178342517465353,0.0,30,0.4,12
30,0.027689816430211067,0.0051282052882015705,0.016311872750520706,0.0,30,0.4,24
30,0.027439294382929802,0.0051282052882015705,0.01725643314421177,0.0,30,0.4,48
