round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
40,0.004795453045517206,0.04909142106771469,83186.9609375,0.0033447789028286934,0.043032433837652206,24.197643280029297,8,0.2,40,12
40,0.004364976193755865,0.04731161147356033,51930.23046875,0.0032592385541647673,0.04216375946998596,23.88770866394043,8,0.2,40,24
40,0.0045368424616754055,0.04727043956518173,70711.6953125,0.0035394716542214155,0.04329492896795273,23.339017868041992,8,0.2,40,48
40,0.006528661586344242,0.0563705675303936,60047.859375,0.0037251904141157866,0.04551906883716583,25.82423973083496,8,0.4,40,12
40,0.005316015332937241,0.05187499150633812,21237.0078125,0.005325280595570803,0.05359852313995361,28.580646514892578,8,0.4,40,24
40,0.005366727709770203,0.05183005332946777,17524.955078125,0.006186063401401043,0.05442677065730095,27.654129028320312,8,0.4,40,48
40,0.004782476928085089,0.04911408945918083,99601.53125,0.003575351322069764,0.04523661360144615,27.500608444213867,16,0.2,40,12
40,0.004301200155168772,0.04594346508383751,66516.03125,0.003443115623667836,0.042658593505620956,23.197233200073242,16,0.2,40,24
40,0.004068710375577211,0.04680786654353142,33392.0625,0.003458678023889661,0.04274890944361687,23.05621337890625,16,0.2,40,48
40,0.0056755742989480495,0.052751198410987854,54746.89453125,0.003912702202796936,0.04497313126921654,24.94623565673828,16,0.4,40,12
40,0.005557025317102671,0.05198049545288086,30308.93359375,0.004445446655154228,0.04883086681365967,26.509117126464844,16,0.4,40,24
40,0.00572159793227911,0.05292905867099762,45345.8671875,0.009127563796937466,0.07439607381820679,40.44633483886719,16,0.4,40,48
40,0.004912822972983122,0.04960929602384567,52546.18359375,0.0037256076466292143,0.04595581069588661,29.25533676147461,32,0.2,40,12
40,0.004721613600850105,0.04798281192779541,63360.703125,0.0035139876417815685,0.042972974479198456,24.367647171020508,32,0.2,40,24
40,0.004552497994154692,0.047580886632204056,81287.8828125,0.003256220370531082,0.0422743484377861,24.658498764038086,32,0.2,40,48
40,0.006241536699235439,0.05553066357970238,11075.8125,0.004098591394722462,0.04712766036391258,26.716245651245117,32,0.4,40,12
40,0.005967430304735899,0.054782282561063766,33281.0390625,0.003959834575653076,0.0464579276740551,26.363849639892578,32,0.4,40,24
40,0.005245576612651348,0.05190484970808029,30701.16015625,0.006013370119035244,0.057633355259895325,31.009353637695312,32,0.4,40,48
