round_epochs,loss,mae,mape,val_loss,val_mae,val_mape,batch_size,dropout,epochs,first_neuron
40,0.013301647268235683,0.08822796493768692,1020693.75,0.020403660833835602,0.11390065401792526,59.745750427246094,8,0.1,40,12
40,0.013862300664186478,0.09058725088834763,968806.5,0.02172699011862278,0.11047682911157608,65.19556427001953,8,0.1,40,24
40,0.010820837691426277,0.08146263659000397,776544.0,0.022571712732315063,0.11455310136079788,59.837345123291016,8,0.1,40,48
50,0.012914188206195831,0.08898267149925232,816975.1875,0.02134758047759533,0.11024287343025208,55.691776275634766,8,0.1,50,12
50,0.013033781200647354,0.08732354640960693,711250.9375,0.02233853004872799,0.12073390185832977,74.78105163574219,8,0.1,50,24
50,0.01182535756379366,0.08543819189071655,747552.5,0.018363747745752335,0.1044623851776123,51.64189147949219,8,0.1,50,48
40,0.01482082437723875,0.09397781640291214,791121.875,0.0247566569596529,0.12265083193778992,78.3084716796875,8,0.2,40,12
40,0.01423737220466137,0.09174799174070358,815285.5,0.02549208514392376,0.11905425041913986,55.196144104003906,8,0.2,40,24
40,0.013982347212731838,0.09182069450616837,979121.8125,0.02729005180299282,0.12273227423429489,57.807960510253906,8,0.2,40,48
50,0.015300235711038113,0.09687045961618423,568069.1875,0.023468421772122383,0.11868605762720108,70.87627410888672,8,0.2,50,12
50,0.012949654832482338,0.08968177437782288,741895.5625,0.021527810022234917,0.11098473519086838,62.467689514160156,8,0.2,50,24
50,0.012307838536798954,0.08575593680143356,882868.625,0.022666478529572487,0.11010763794183731,51.3087043762207,8,0.2,50,48
40,0.017248747870326042,0.10414823889732361,1193820.25,0.02686421200633049,0.12422303855419159,66.46876525878906,8,0.4,40,12
40,0.01477584708482027,0.0957443118095398,719405.9375,0.026979492977261543,0.12061023712158203,67.87498474121094,8,0.4,40,24
40,0.016867559403181076,0.09982173889875412,703358.75,0.027471251785755157,0.1243068277835846,65.7868881225586,8,0.4,40,48
50,0.016831908375024796,0.10038211196660995,738650.75,0.025535935536026955,0.12165353447198868,81.75724792480469,8,0.4,50,12
50,0.015834884718060493,0.09402425587177277,939826.625,0.028563911095261574,0.12125097960233688,60.76210021972656,8,0.4,50,24
50,0.01630420982837677,0.0969005674123764,851413.8125,0.034521933645009995,0.1359276920557022,51.036865234375,8,0.4,50,48
40,0.014155138283967972,0.09332233667373657,820462.9375,0.022219257429242134,0.11425613611936569,66.51551818847656,16,0.1,40,12
40,0.012999644502997398,0.0869607999920845,979336.5625,0.023370785638689995,0.11847706139087677,65.89700317382812,16,0.1,40,24
40,0.01263175904750824,0.08721113204956055,775026.0,0.021815652027726173,0.10923099517822266,52.956844329833984,16,0.1,40,48
50,0.012364997528493404,0.0864403247833252,893308.875,0.021742938086390495,0.11601877212524414,66.60047149658203,16,0.1,50,12
50,0.01337138470262289,0.09113436937332153,778081.8125,0.02380603551864624,0.1190938949584961,57.391841888427734,16,0.1,50,24
50,0.010910814628005028,0.08069464564323425,800159.5,0.021612487733364105,0.11393174529075623,64.35639190673828,16,0.1,50,48
40,0.016055507585406303,0.09795210510492325,932439.5625,0.024504447355866432,0.11787345260381699,71.38961791992188,16,0.2,40,12
40,0.01387389749288559,0.09158621728420258,1042211.625,0.02320973202586174,0.1177445650100708,63.89803695678711,16,0.2,40,24
40,0.013781695626676083,0.08843829482793808,998865.0,0.024809587746858597,0.11896777153015137,49.5924072265625,16,0.2,40,48
50,0.014823660254478455,0.0935768261551857,572609.5,0.022941922768950462,0.11305952072143555,65.97372436523438,16,0.2,50,12
