round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,first_neuron
30,0.01687495969235897,0.0051282052882015705,0.019578183069825172,0.0,10,0.2,12
30,0.01560371182858944,0.0051282052882015705,0.01868286170065403,0.0,10,0.2,24
30,0.015165293589234352,0.0051282052882015705,0.019469259306788445,0.0,10,0.2,48
30,0.018802352249622345,0.0051282052882015705,0.018063779920339584,0.0,10,0.4,12
30,0.01892157271504402,0.0051282052882015705,0.017032383009791374,0.0,10,0.4,24
30,0.019947469234466553,0.0051282052882015705,0.02309434860944748,0.0,10,0.4,48
30,0.017439881339669228,0.0051282052882015705,0.020827431231737137,0.0,20,0.2,12
30,0.015674661844968796,0.0051282052882015705,0.018514128401875496,0.0,20,0.2,24
30,0.015612450428307056,0.0051282052882015705,0.019377805292606354,0.0,20,0.2,48
30,0.020937347784638405,0.0051282052882015705,0.01730446331202984,0.0,20,0.4,12
30,0.018972616642713547,0.0051282052882015705,0.018729649484157562,0.0,20,0.4,24
30,0.020325200632214546,0.0051282052882015705,0.017806148156523705,0.0,20,0.4,48
30,0.018361777067184448,0.0051282052882015705,0.01801423542201519,0.0,30,0.2,12
30,0.018671296536922455,0.0051282052882015705,0.01720745675265789,0.0,30,0.2,24
30,0.015750082209706306,0.0051282052882015705,0.01934528909623623,0.0,30,0.2,48
30,0.02177494578063488,0.0051282052882015705,0.021761959418654442,0.0,30,0.4,12
30,0.020108316093683243,0.0051282052882015705,0.01883426494896412,0.0,30,0.4,24
30,0.019071554765105247,0.0051282052882015705,0.017392216250300407,0.0,30,0.4,48
